target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
DNAJA2,ENSG00000069345,nucleoplasm;cytoplasmic,,
DNAJB1,ENSG00000132002,nucleoplasm,cytoplasmic,
DNAJB2,ENSG00000135924,big_aggregates,cytoplasmic,nucleoplasm
DNAJB4,ENSG00000162616,cytoplasmic;nucleoplasm,,
DNAJB6,ENSG00000105993,nucleoplasm;nuclear_punctae;cytoplasmic,,
DNAJC11,ENSG00000007923,mitochondria,,
DNAJC13,ENSG00000138246,vesicles,,cytoplasmic
DNAJC17,ENSG00000104129,nucleoplasm,,
DNAJC18,ENSG00000170464,er,,big_aggregates
DNAJC2,ENSG00000105821,cytoplasmic,,
DNAJC24,ENSG00000170946,cytoplasmic,nucleoplasm,
DNAJC5,ENSG00000101152,cytoplasmic;vesicles,membrane,nucleoplasm
DNAJC7,ENSG00000168259,cytoplasmic;nucleoplasm,big_aggregates,
DNAJC8,ENSG00000126698,nucleoplasm,,
DNAJC9,ENSG00000213551,nucleoplasm,,cytoplasmic
DNM1,ENSG00000106976,cytoplasmic,,vesicles
DNM1L,ENSG00000087470,vesicles,,cytoplasmic
DNM2,ENSG00000079805,membrane;cytoplasmic,,vesicles;cell_contact
DNTTIP1,ENSG00000101457,nucleoplasm,,chromatin
DOCK11,ENSG00000147251,cytoplasmic,,big_aggregates
DOCK7,ENSG00000116641,membrane;cytoplasmic,cell_contact,
DPH2,ENSG00000132768,cytoplasmic;nucleoplasm,vesicles,
DRG1,ENSG00000185721,cytoplasmic,,
DYNC1H1,ENSG00000197102,centrosome;cytoplasmic,,
DYNC1I2,ENSG00000077380,cytoplasmic;cytoskeleton,centrosome,
DYNC1LI1,ENSG00000144635,cytoplasmic,centrosome,cytoskeleton
DYNC1LI2,ENSG00000135720,cytoplasmic,nucleoplasm;centrosome,
DYNC2LI1,ENSG00000138036,cytoplasmic;centrosome,nucleoplasm,
DYNLL1,ENSG00000088986,nuclear_punctae;nucleoplasm,cytoskeleton;cytoplasmic,
DYNLL2,ENSG00000264364,centrosome;nuclear_punctae,nucleoplasm;cytoplasmic;cell_contact,cytoskeleton
EBNA1BP2,ENSG00000117395,nucleolus_gc,,
